PV Player ID,Full Formal Name,Jersey,Canonical Position,2026 Active Proposal,Roster rp_id,Provider PersonId,Identity Status,Provenance,Manual Approval
"P001","Jaden Allison","","LB","ACTIVE_2026_PROPOSED","8579","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P002","Austine Anyia","","OL","ACTIVE_2026_PROPOSED","8580","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P047","Austin Appiah","","DL","ACTIVE_2026_PROPOSED","8646","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P003","Ja'koby Banks","","WR","ACTIVE_2026_PROPOSED","8581","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P004","Ray'Quan Bell","","OL","ACTIVE_2026_PROPOSED","8582","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P048","Mohammed Bility","","DB","ACTIVE_2026_PROPOSED","8649","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P005","Chase Bingmon","","RB","ACTIVE_2026_PROPOSED","8583","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P044","William Blaylock, II","","TE","ACTIVE_2026_PROPOSED","8640","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P049","Jabraxton Boone","","WR","ACTIVE_2026_PROPOSED","8650","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P006","Caden Bowers","","Offensive Line","ACTIVE_2026_PROPOSED","8584","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P091","Preston Brown","","QB","ACTIVE_2026_PROPOSED","8895","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P007","Ty Brown","","OL","ACTIVE_2026_PROPOSED","8585","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P092","Micah Bryant","","DB","ACTIVE_2026_PROPOSED","8896","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P008","Quam Byers","","OL","ACTIVE_2026_PROPOSED","8586","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P009","Ellis Bynum","","RB","ACTIVE_2026_PROPOSED","8587","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P051","Jordan Campbell","","Defensive Line","ACTIVE_2026_PROPOSED","8652","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P052","Kamrin Canterbury","","DB","ACTIVE_2026_PROPOSED","8653","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P010","CK Carter","","OL","ACTIVE_2026_PROPOSED","8588","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"","Rondell Carter","","DB","ACTIVE_2026_PROPOSED","8654","","NEW_PV_ID_REQUIRED","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P011","Tevin Carter","","QB","ACTIVE_2026_PROPOSED","8589","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P012","Pedro Chagas da Silva","","OL","ACTIVE_2026_PROPOSED","8590","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P053","Germonie Davis","","WR","ACTIVE_2026_PROPOSED","8655","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P055","Jacob Davis","","DB","ACTIVE_2026_PROPOSED","8657","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P054","Silas Davis","","DB","ACTIVE_2026_PROPOSED","8656","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"","Cornelius Davis, Jr.","","DB","ACTIVE_2026_PROPOSED","8591","","NEW_PV_ID_REQUIRED","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P093","Bryce Dixon","","WR","ACTIVE_2026_PROPOSED","8897","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P099","Ethan Eddins","","K/P","ACTIVE_2026_PROPOSED","8905","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P057","Ledell Finister","","OL","ACTIVE_2026_PROPOSED","8659","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P056","Braylon Finney","","WR","ACTIVE_2026_PROPOSED","8658","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P013","Chaney Fitzgerald","","WR","ACTIVE_2026_PROPOSED","8593","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P058","Dorian Gates","","DL","ACTIVE_2026_PROPOSED","8660","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P059","Toric Goins, Jr.","","Wide Reciever","ACTIVE_2026_PROPOSED","8661","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P094","Isaiah Gordon","","RB","ACTIVE_2026_PROPOSED","8898","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"","Trae Grogan","","DB","ACTIVE_2026_PROPOSED","8662","","NEW_PV_ID_REQUIRED","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P014","Malik Gucake","","DL","ACTIVE_2026_PROPOSED","8594","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P060","Jacob Hansen","","LB","ACTIVE_2026_PROPOSED","8663","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"P039","Ky'Yon Harris","","RB","ACTIVE_2026_PROPOSED","8635","","RETAINED_BY_UNIQUE_FORMAL_NAME","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
"","Nahamani Harris","","DB","ACTIVE_2026_PROPOSED","8664","","NEW_PV_ID_REQUIRED","https://pvpanthers.com/sports/football/roster; CAPTURED_PRODUCTION_PLAYERS_SNAPSHOT_2026-08-17","REQUIRED"
